Date,Price,Open,High,Low,Vol.,Change %,,Date2,Price2,,Date(Month),Date(Year),Month,Price(Month)
45153,464,474,474,462,89.97,-0.025,,,,,8,2023,43617,435.2
45152,475.75,476.25,479.75,468.75,73.61,0.003,,,,,8,2023,43586,379.8
45149,474.5,483,494.75,470.5,174.43,-0.018,,,,,8,2023,43556,357.7
45148,483.25,481.5,485.5,480,93.32,0.005,,,,,8,2023,43525,366.6
45147,481,485.75,490,479,120.22,-0.01,,,,,8,2023,43497,373.8
45146,485.75,482,488.75,477.25,124.55,0.007,,,,,8,2023,43466,378.7
45145,482.25,484.75,488.5,476,164.88,-0.004,,,,,8,2023,43435,376.2
45142,484.25,482.5,493.5,480.25,96.91,0.007,,,,,8,2023,43405,365.8
45141,480.75,486.25,489.75,480.25,101.38,-0.015,,,,,8,2023,43374,368.2
45140,488.25,497.25,512.25,485.75,158.41,-0.018,,,,,8,2023,43344,352.3
45139,497,504,508,496.5,116.23,-0.014,,,,,8,2023,43313,358.3
45138,504,516.25,516.25,498.5,111.16,-0.033,,,,,7,2023,43282,349.2
45135,521,533,538.5,516.75,90.55,-0.023,,,,,7,2023,43252,364.9
45134,533.25,540.25,547,532.25,95.91,-0.013,,,,,7,2023,43221,398.2
45133,540.25,557,557.25,536.75,106.98,-0.031,,,,,7,2023,43191,385.5
45132,557.5,559.75,563.75,545.5,104.8,-0.005,,,,,7,2023,43160,379.6
45131,560.5,534,564.5,531.5,115.44,0.064,,,,,7,2023,43132,365.9
45128,527,536.5,538.75,522.5,121.03,-0.019,,,,,7,2023,43101,352.7
45127,537.25,545,554.5,533,123.96,-0.015,,,,,7,2023,43070,344.6
45126,545.5,526.75,557.5,525.75,193.39,0.032,,,,,7,2023,43040,343.2
45125,528.75,497.75,534.75,495.25,132.5,0.059,,,,,7,2023,43009,349.4
45124,499.25,512,519.75,496.25,87.97,-0.168,,,,,7,2023,42979,348
45121,599.75,609.75,614.75,604.75,0.08,0.011,,,,,7,2023,42948,353.1
45120,593.5,547.5,593.75,547.5,0.13,0.08,,,,,7,2023,42917,377.6
45119,549.75,573,574.5,547.25,0.71,-0.039,,,,,7,2023,42887,372.3
45118,571.75,567.5,585.5,567.5,0.79,0.002,,,,,7,2023,42856,366.6
45117,570.75,561,572,561,0.52,0.018,,,,,7,2023,42826,363
45114,560.5,567,571.75,560,1.32,-0.011,,,,,7,2023,42795,362.8
45113,566.75,547.25,569.25,547.25,1.41,0.034,,,,,7,2023,42767,369.2
45112,548.25,558,564.25,545.5,1.92,-0.016,,,,,7,2023,42736,361.8
45110,557.25,558.5,568.25,553.25,1.61,0.005,,,,,7,2023,42705,349.7
45107,554.5,585,595,552,6.46,-0.046,,,,,6,2023,42675,345
45106,581,591.75,603.5,574,42.59,-0.015,,,,,6,2023,42644,349.5
45105,590,625,630.75,582,89.62,-0.053,,,,,6,2023,42614,328.9
45104,623,643,644.5,622.25,93.04,-0.022,,,,,6,2023,42583,323
45103,637.25,634.5,649.75,621,117.53,0.01,,,,,6,2023,42552,343.3
45100,630.75,655.75,657.5,629,142.97,-0.045,,,,,6,2023,42522,410.3
45099,660.5,668.25,670.25,653,117.76,-0.016,,,,,6,2023,42491,389.4
45098,671,650,672.5,647.25,150.76,0.042,,,,,6,2023,42461,372.7
45097,643.75,640.75,647,635.5,151.99,0.006,,,,,6,2023,42430,363.5
45093,640.25,623,641,622.25,223.69,0.027,,,,,6,2023,42401,363.3
45092,623.25,608,626.5,607.25,194.03,0.026,,,,,6,2023,42370,361.8
45091,607.75,610.25,618.75,601.5,187.54,-0.008,,,,,6,2023,42339,369.3
45090,612.5,617,625,610.75,202.99,-0.008,,,,,6,2023,42309,366.3
45089,617.25,609,623.75,608.75,208.16,0.022,,,,,6,2023,42278,383.1
45086,604.25,608.25,609,597.5,174.69,-0.01,,,,,6,2023,42248,373.8
45085,610.25,600,613.25,595.25,178.77,0.01,,,,,6,2023,42217,367.7
45084,604.25,605,612.5,601.75,174.3,-0.006,,,,,6,2023,42186,406.4
45083,608,599.75,610.75,599.75,185.93,0.018,,,,,6,2023,42156,364.4
45082,597.5,609,614,595,168.38,-0.019,,,,,6,2023,42125,359.2
45079,609,592.5,610.5,581.25,199.86,0.028,,,,,6,2023,42095,374.5
45078,592.5,594,606,591.75,153.59,-0.003,,,,,6,2023,42064,382.9
45077,594,594.25,594.75,577.5,170.16,0,,,,,5,2023,42036,383.7
45076,594,603.75,605,591.5,176.21,-0.017,,,,,5,2023,42005,388.1
45072,604,590.25,606.75,588.25,178.64,0.022,,,,,5,2023,41974,395.8
45071,590.75,587.5,593,583.5,145.55,0.006,,,,,5,2023,41944,373.2
45070,587.25,577,589.75,574,152.82,0.017,,,,,5,2023,41913,349.4
45069,577.5,570.25,580.75,564,133.38,0.011,,,,,5,2023,41883,335.4
45068,571,554.75,575.5,553.25,148.54,0.03,,,,,5,2023,41852,359.3
45065,554.5,555,571.75,551.5,183.02,-0.001,,,,,5,2023,41821,383.3
45064,555.25,561.25,561.75,547,181.02,-0.011,,,,,5,2023,41791,446.7
45063,561.5,581.75,582.75,554.25,265,-0.034,,,,,5,2023,41760,488.7
45062,581.25,592,593,578.25,133.85,-0.019,,,,,5,2023,41730,502.2
